1616999334436|5|statement|connection 1|SELECT COUNT(1) FROM bs_book WHERE (category = ?)|SELECT COUNT(1) FROM bs_book WHERE (category = 3)
1617020893330|4|statement|connection 0|SELECT COUNT(1) FROM bs_book WHERE (category = ?)|SELECT COUNT(1) FROM bs_book WHERE (category = 2)
1617020893330|4|statement|connection 1|SELECT COUNT(1) FROM bs_book WHERE (category = ?)|SELECT COUNT(1) FROM bs_book WHERE (category = 3)
1617020893330|4|statement|connection 2|SELECT COUNT(1) FROM bs_book WHERE (category = ?)|SELECT COUNT(1) FROM bs_book WHERE (category = 1)
1617020893355|1|statement|connection 0|SELECT  id,author_loc,img_url,author,old_price,isbn,publish_date,name,publisher,new_price,suit,category,info  FROM bs_book     WHERE (category = ?) LIMIT ?,?|SELECT  id,author_loc,img_url,author,old_price,isbn,publish_date,name,publisher,new_price,suit,category,info  FROM bs_book     WHERE (category = 2) LIMIT 0,4
1617020893355|0|statement|connection 2|SELECT  id,author_loc,img_url,author,old_price,isbn,publish_date,name,publisher,new_price,suit,category,info  FROM bs_book     WHERE (category = ?) LIMIT ?,?|SELECT  id,author_loc,img_url,author,old_price,isbn,publish_date,name,publisher,new_price,suit,category,info  FROM bs_book     WHERE (category = 1) LIMIT 0,4
1617020893356|2|statement|connection 1|SELECT  id,author_loc,img_url,author,old_price,isbn,publish_date,name,publisher,new_price,suit,category,info  FROM bs_book     WHERE (category = ?) LIMIT ?,?|SELECT  id,author_loc,img_url,author,old_price,isbn,publish_date,name,publisher,new_price,suit,category,info  FROM bs_book     WHERE (category = 3) LIMIT 0,4
1617020947843|0|statement|connection 0|SELECT id,author_loc,img_url,author,old_price,isbn,publish_date,name,publisher,new_price,suit,category,info FROM bs_book WHERE id=? |SELECT id,author_loc,img_url,author,old_price,isbn,publish_date,name,publisher,new_price,suit,category,info FROM bs_book WHERE id=1 
1617020955841|0|statement|connection 0|SELECT COUNT(1) FROM bs_book WHERE (category = ?)|SELECT COUNT(1) FROM bs_book WHERE (category = 1)
1617020955843|0|statement|connection 0|SELECT  id,author_loc,img_url,author,old_price,isbn,publish_date,name,publisher,new_price,suit,category,info  FROM bs_book     WHERE (category = ?) LIMIT ?,?|SELECT  id,author_loc,img_url,author,old_price,isbn,publish_date,name,publisher,new_price,suit,category,info  FROM bs_book     WHERE (category = 1) LIMIT 0,4
1617020955845|0|statement|connection 2|SELECT COUNT(1) FROM bs_book WHERE (category = ?)|SELECT COUNT(1) FROM bs_book WHERE (category = 3)
1617020955848|6|statement|connection 1|SELECT COUNT(1) FROM bs_book WHERE (category = ?)|SELECT COUNT(1) FROM bs_book WHERE (category = 2)
1617020955851|1|statement|connection 2|SELECT  id,author_loc,img_url,author,old_price,isbn,publish_date,name,publisher,new_price,suit,category,info  FROM bs_book     WHERE (category = ?) LIMIT ?,?|SELECT  id,author_loc,img_url,author,old_price,isbn,publish_date,name,publisher,new_price,suit,category,info  FROM bs_book     WHERE (category = 3) LIMIT 0,4
1617020955852|1|statement|connection 1|SELECT  id,author_loc,img_url,author,old_price,isbn,publish_date,name,publisher,new_price,suit,category,info  FROM bs_book     WHERE (category = ?) LIMIT ?,?|SELECT  id,author_loc,img_url,author,old_price,isbn,publish_date,name,publisher,new_price,suit,category,info  FROM bs_book     WHERE (category = 2) LIMIT 0,4
1617020957166|1|statement|connection 0|SELECT id,author_loc,img_url,author,old_price,isbn,publish_date,name,publisher,new_price,suit,category,info FROM bs_book WHERE id=? |SELECT id,author_loc,img_url,author,old_price,isbn,publish_date,name,publisher,new_price,suit,category,info FROM bs_book WHERE id=2 
1617020970438|1|statement|connection 0|SELECT COUNT(1) FROM bs_book WHERE (category = ?)|SELECT COUNT(1) FROM bs_book WHERE (category = 1)
1617020970442|1|statement|connection 0|SELECT  id,author_loc,img_url,author,old_price,isbn,publish_date,name,publisher,new_price,suit,category,info  FROM bs_book     WHERE (category = ?) LIMIT ?,?|SELECT  id,author_loc,img_url,author,old_price,isbn,publish_date,name,publisher,new_price,suit,category,info  FROM bs_book     WHERE (category = 1) LIMIT 0,4
1617020970450|0|statement|connection 1|SELECT COUNT(1) FROM bs_book WHERE (category = ?)|SELECT COUNT(1) FROM bs_book WHERE (category = 2)
1617020970455|1|statement|connection 1|SELECT  id,author_loc,img_url,author,old_price,isbn,publish_date,name,publisher,new_price,suit,category,info  FROM bs_book     WHERE (category = ?) LIMIT ?,?|SELECT  id,author_loc,img_url,author,old_price,isbn,publish_date,name,publisher,new_price,suit,category,info  FROM bs_book     WHERE (category = 2) LIMIT 0,4
1617020970470|4|statement|connection 2|SELECT COUNT(1) FROM bs_book WHERE (category = ?)|SELECT COUNT(1) FROM bs_book WHERE (category = 3)
1617020970473|0|statement|connection 2|SELECT  id,author_loc,img_url,author,old_price,isbn,publish_date,name,publisher,new_price,suit,category,info  FROM bs_book     WHERE (category = ?) LIMIT ?,?|SELECT  id,author_loc,img_url,author,old_price,isbn,publish_date,name,publisher,new_price,suit,category,info  FROM bs_book     WHERE (category = 3) LIMIT 0,4
1617020972043|3|statement|connection 0|SELECT id,author_loc,img_url,author,old_price,isbn,publish_date,name,publisher,new_price,suit,category,info FROM bs_book WHERE id=? |SELECT id,author_loc,img_url,author,old_price,isbn,publish_date,name,publisher,new_price,suit,category,info FROM bs_book WHERE id=3 
